Township,Area_Raw,Area_Clean,Area_Key,State,State_Clean,Tenure,Type,Type_Clean,Primary_Type,Category,Median_Price,Median_PSF,Transactions
Mont Residence,Tanjong Tokong,TANJONG TOKONG,PENANG | TANJONG TOKONG,Penang,PENANG,Freehold,Condominium,Condominium,Condominium,High-Rise,760000.0,795.0,15
Corus Paradise Resort,Port Dickson,PORT DICKSON,NEGERI SEMBILAN | PORT DICKSON,Negeri Sembilan,NEGERI SEMBILAN,Leasehold,Condominium,Condominium,Condominium,High-Rise,160000.0,219.0,15
Gurney Park Condominium,Gurney,GURNEY,PENANG | GURNEY,Penang,PENANG,Freehold,Condominium,Condominium,Condominium,High-Rise,657000.0,744.0,15
Delta Heights,Penampang,PENAMPANG,SABAH | PENAMPANG,Sabah,SABAH,Leasehold,Apartment,Apartment,Apartment,High-Rise,350000.0,375.0,15
Vista Ilmu,Kota Samarahan,KOTA SAMARAHAN,SARAWAK | KOTA SAMARAHAN,Sarawak,SARAWAK,Leasehold,Apartment,Apartment,Apartment,High-Rise,180000.0,240.0,15
Sri Lavender Apartment,Kajang,KAJANG,SELANGOR | KAJANG,Selangor,SELANGOR,Freehold,Apartment,Apartment,Apartment,High-Rise,300000.0,287.0,15
N-Park Condominium,Gelugor,GELUGOR,PENANG | GELUGOR,Penang,PENANG,Freehold,Condominium,Condominium,Condominium,High-Rise,330000.0,471.0,15
Seri Maju & Sepangar Ria,Kota Kinabalu,KOTA KINABALU,SABAH | KOTA KINABALU,Sabah,SABAH,Leasehold,Apartment,Apartment,Apartment,High-Rise,172000.0,265.0,15
Taman Sri Sentosa,Jalan Klang Lama (Old Klang Road),JALAN KLANG LAMA (OLD KLANG ROAD),KUALA LUMPUR | JALAN KLANG LAMA (OLD KLANG ROAD),Kuala Lumpur,KUALA LUMPUR,Leasehold,Flat,Flat,Flat,High-Rise,180000.0,257.0,15
Taman Pandan Perdana,Ampang,AMPANG,SELANGOR | AMPANG,Selangor,SELANGOR,Leasehold,Flat,Flat,Flat,High-Rise,150000.0,232.0,15
Kinrara Mas,Bukit Jalil,BUKIT JALIL,KUALA LUMPUR | BUKIT JALIL,Kuala Lumpur,KUALA LUMPUR,Freehold,Condominium,Condominium,Condominium,High-Rise,380000.0,319.0,15
Idaman Sutera,Setapak,SETAPAK,KUALA LUMPUR | SETAPAK,Kuala Lumpur,KUALA LUMPUR,Freehold,Condominium,Condominium,Condominium,High-Rise,350000.0,412.0,15
Pinang Emas,Batu Ferringhi,BATU FERRINGHI,PENANG | BATU FERRINGHI,Penang,PENANG,Freehold,Apartment,Apartment,Apartment,High-Rise,170000.0,304.0,15
