Township,Area_Raw,Area_Clean,Area_Key,State,State_Clean,Tenure,Type,Type_Clean,Primary_Type,Category,Median_Price,Median_PSF,Transactions
TAMAN MOSEY HILL,Ipoh,IPOH,PERAK | IPOH,Perak,PERAK,Leasehold,Terrace House,Terrace House,Terrace House,Landed,399880.0,211.0,11
TAMAN KURAU MURNI (BATU KURAU),Batu Kurau,BATU KURAU,PERAK | BATU KURAU,Perak,PERAK,Freehold,"Cluster House, Terrace House","Cluster House, Terrace House",Cluster House,Landed,318800.0,177.0,11
GARDEN CITY HOMES @ SEREMBAN 2,Seremban 2,SEREMBAN 2,NEGERI SEMBILAN | SEREMBAN 2,Negeri Sembilan,NEGERI SEMBILAN,Freehold,"Terrace House, Semi D","Semi D, Terrace House",Semi D,Landed,755000.0,236.0,11
PARK AVENUE @ SEREMBAN 2,Seremban 2,SEREMBAN 2,NEGERI SEMBILAN | SEREMBAN 2,Negeri Sembilan,NEGERI SEMBILAN,Freehold,"Terrace House, Semi D, Bungalow","Bungalow, Semi D, Terrace House",Bungalow,Landed,580000.0,207.0,11
TAMAN RAIA PERDANA,Gopeng,GOPENG,PERAK | GOPENG,Perak,PERAK,Leasehold,Terrace House,Terrace House,Terrace House,Landed,140000.0,117.0,11
TAMAN OREN,Butterworth,BUTTERWORTH,PENANG | BUTTERWORTH,Penang,PENANG,Freehold,Terrace House,Terrace House,Terrace House,Landed,1230800.0,778.0,11
TAMAN CEMPAKA PERDANA,Senawang,SENAWANG,NEGERI SEMBILAN | SENAWANG,Negeri Sembilan,NEGERI SEMBILAN,Leasehold,Terrace House,Terrace House,Terrace House,Landed,397083.0,244.0,11
RENDANG EXORA (PEC LOT 24818),Pekan,PEKAN,PAHANG | PEKAN,Pahang,PAHANG,Freehold,Terrace House,Terrace House,Terrace House,Landed,260000.0,186.0,11
TAMAN PERMAI 2,Bukit Kepayang,BUKIT KEPAYANG,NEGERI SEMBILAN | BUKIT KEPAYANG,Negeri Sembilan,NEGERI SEMBILAN,Freehold,Terrace House,Terrace House,Terrace House,Landed,260000.0,209.0,11
TAMAN JENGKA SEJAHTERA (PT 29246),Chenor,CHENOR,PAHANG | CHENOR,Pahang,PAHANG,Leasehold,Terrace House,Terrace House,Terrace House,Landed,243750.0,158.0,11
TAMAN PERDANA (CASA PERDANA),Simpang Ampat,SIMPANG AMPAT,PENANG | SIMPANG AMPAT,Penang,PENANG,Freehold,"Terrace House, Semi D","Semi D, Terrace House",Semi D,Landed,575000.0,374.0,11
TAMAN IMPIAN PUTRA,Port Dickson,PORT DICKSON,NEGERI SEMBILAN | PORT DICKSON,Negeri Sembilan,NEGERI SEMBILAN,Leasehold,"Terrace House, Semi D","Semi D, Terrace House",Semi D,Landed,375000.0,173.0,11
TAMAN PENGKALAN SURIA,Ipoh,IPOH,PERAK | IPOH,Perak,PERAK,Leasehold,"Cluster House, Semi D","Semi D, Cluster House",Semi D,Landed,435240.0,182.0,11
"TAMAN PESONA, SUNGAI SEGAMAT",Segamat,SEGAMAT,JOHOR | SEGAMAT,Johor,JOHOR,Freehold,Terrace House,Terrace House,Terrace House,Landed,363500.0,190.0,11
TAMAN RIANG DIAWAN,Kampar,KAMPAR,PERAK | KAMPAR,Perak,PERAK,Leasehold,Terrace House,Terrace House,Terrace House,Landed,239800.0,171.0,11
RESIDENSI BUKIT ORKID,Ulu Langat,ULU LANGAT,SELANGOR | ULU LANGAT,Selangor,SELANGOR,Freehold,"Semi D, Terrace House","Semi D, Terrace House",Semi D,Landed,1150000.0,760.0,11
T.VISTA @ BALOK PERMAI (P/L :15153),Sungai Karang,SUNGAI KARANG,PAHANG | SUNGAI KARANG,Pahang,PAHANG,Leasehold,Terrace House,Terrace House,Terrace House,Landed,340000.0,134.0,11
TAMAN DESA ANUGERAH,Sepang,SEPANG,SELANGOR | SEPANG,Selangor,SELANGOR,Leasehold,Terrace House,Terrace House,Terrace House,Landed,381000.0,272.0,11
TAMAN GAMELAN,Kuala Kedah,KUALA KEDAH,KEDAH | KUALA KEDAH,Kedah,KEDAH,Freehold,"Semi D, Terrace House","Semi D, Terrace House",Semi D,Landed,350260.0,148.0,11
TAMAN SERAI MERBAU,Bagan Serai,BAGAN SERAI,PERAK | BAGAN SERAI,Perak,PERAK,Freehold,"Semi D, Terrace House","Semi D, Terrace House",Semi D,Landed,317800.0,187.0,11
TAMAN MATANG MURNI (PL 13411 - 13412),Simpang,SIMPANG,PERAK | SIMPANG,Perak,PERAK,Freehold,Terrace House,Terrace House,Terrace House,Landed,288000.0,187.0,11
TAMAN SERI AMPANG,Ipoh,IPOH,PERAK | IPOH,Perak,PERAK,Leasehold,Terrace House,Terrace House,Terrace House,Landed,280000.0,183.0,11
TAMAN MAJU JASIN,Jasin,JASIN,MELAKA | JASIN,Melaka,MELAKA,Leasehold,"Cluster House, Terrace House","Cluster House, Terrace House",Cluster House,Landed,220000.0,144.0,11
SUNWAY CITY,Tambun,TAMBUN,PERAK | TAMBUN,Perak,PERAK,Leasehold,"Town House, Terrace House","Terrace House, Town House",Terrace House,Landed,608000.0,294.0,11
GLENMARIE COVE,Klang,KLANG,SELANGOR | KLANG,Selangor,SELANGOR,Freehold,Semi D,Semi D,Semi D,Landed,1120000.0,334.0,11
TAMAN GEMILANG,Kulai,KULAI,JOHOR | KULAI,Johor,JOHOR,Freehold,Terrace House,Terrace House,Terrace House,Landed,488000.0,290.0,11
TAMAN AMALINA LESTARI,Raub,RAUB,PAHANG | RAUB,Pahang,PAHANG,Leasehold,Terrace House,Terrace House,Terrace House,Landed,200000.0,168.0,11
SANCTUARY GARDEN,Bukit Mertajam,BUKIT MERTAJAM,PENANG | BUKIT MERTAJAM,Penang,PENANG,Freehold,Semi D,Semi D,Semi D,Landed,860000.0,329.0,11
TAMAN PANDAN JAYA,Ampang,AMPANG,SELANGOR | AMPANG,Selangor,SELANGOR,Leasehold,Terrace House,Terrace House,Terrace House,Landed,530000.0,500.0,11
TAMAN MEGAH,Pontian,PONTIAN,JOHOR | PONTIAN,Johor,JOHOR,Freehold,"Terrace House, Semi D","Semi D, Terrace House",Semi D,Landed,366000.0,234.0,11
TAMAN ABADI HEIGHTS,Puchong,PUCHONG,SELANGOR | PUCHONG,Selangor,SELANGOR,Leasehold,"Semi D, Terrace House","Semi D, Terrace House",Semi D,Landed,756000.0,538.0,11
TAMAN WAWASAN / BANDAR BARU MERSING,Mersing,MERSING,JOHOR | MERSING,Johor,JOHOR,Freehold,Terrace House,Terrace House,Terrace House,Landed,260000.0,214.0,11
TAMAN SRI SETIA,Johor Bahru,JOHOR BAHRU,JOHOR | JOHOR BAHRU,Johor,JOHOR,Freehold,"Terrace House, Semi D","Semi D, Terrace House",Semi D,Landed,738000.0,289.0,11
SETIA INDAH 11,Setia Alam,SETIA ALAM,SELANGOR | SETIA ALAM,Selangor,SELANGOR,Freehold,Terrace House,Terrace House,Terrace House,Landed,700000.0,507.0,11
TAMAN PARIT BAKAR INDAH-TR.149,Muar,MUAR,JOHOR | MUAR,Johor,JOHOR,Freehold,Terrace House,Terrace House,Terrace House,Landed,498000.0,282.0,11
TAMAN VILLA MUTIARA INDAH,Sungai Bakap,SUNGAI BAKAP,PENANG | SUNGAI BAKAP,Penang,PENANG,Freehold,"Semi D, Terrace House","Semi D, Terrace House",Semi D,Landed,670000.0,246.0,11
TAMAN SUTERA WANGI,Batu Berendam,BATU BERENDAM,MELAKA | BATU BERENDAM,Melaka,MELAKA,Leasehold,Terrace House,Terrace House,Terrace House,Landed,388000.0,250.0,11
TAMAN JATI,Batu Berendam,BATU BERENDAM,MELAKA | BATU BERENDAM,Melaka,MELAKA,Mixed,Terrace House,Terrace House,Terrace House,Landed,380000.0,269.0,11
TAMAN SERI BAYU 2,Sungai Petani,SUNGAI PETANI,KEDAH | SUNGAI PETANI,Kedah,KEDAH,Freehold,Terrace House,Terrace House,Terrace House,Landed,175000.0,155.0,11
TAMAN REDANG,Masai,MASAI,JOHOR | MASAI,Johor,JOHOR,Mixed,Terrace House,Terrace House,Terrace House,Landed,780000.0,393.0,11
SEKSYEN 19 SHAH ALAM,Shah Alam,SHAH ALAM,SELANGOR | SHAH ALAM,Selangor,SELANGOR,Leasehold,Terrace House,Terrace House,Terrace House,Landed,450000.0,321.0,11
"TAMAN DESA UTAMA, SUNGAI MERAB",Dengkil,DENGKIL,SELANGOR | DENGKIL,Selangor,SELANGOR,Freehold,Terrace House,Terrace House,Terrace House,Landed,685000.0,393.0,11
TAMAN BATU GAJAH PERDANA,Batu Gajah,BATU GAJAH,PERAK | BATU GAJAH,Perak,PERAK,Leasehold,Terrace House,Terrace House,Terrace House,Landed,275000.0,151.0,11
TAMAN BACANG BARU,Bachang,BACHANG,MELAKA | BACHANG,Melaka,MELAKA,Leasehold,Terrace House,Terrace House,Terrace House,Landed,300000.0,219.0,11
TAMAN IMPIAN EHSAN,Balakong,BALAKONG,SELANGOR | BALAKONG,Selangor,SELANGOR,Leasehold,Terrace House,Terrace House,Terrace House,Landed,330000.0,322.0,11
TAMAN DUSUN SETIA,Seremban,SEREMBAN,NEGERI SEMBILAN | SEREMBAN,Negeri Sembilan,NEGERI SEMBILAN,Freehold,Terrace House,Terrace House,Terrace House,Landed,275000.0,238.0,11
HIJAYU 3B,Bandar Sri Sendayan,BANDAR SRI SENDAYAN,NEGERI SEMBILAN | BANDAR SRI SENDAYAN,Negeri Sembilan,NEGERI SEMBILAN,Freehold,Terrace House,Terrace House,Terrace House,Landed,580000.0,309.0,11
E-RESIDENCE,Kuching,KUCHING,SARAWAK | KUCHING,Sarawak,SARAWAK,Leasehold,Terrace House,Terrace House,Terrace House,Landed,600000.0,254.0,11
TAMAN IMPIAN ALMA,Bukit Mertajam,BUKIT MERTAJAM,PENANG | BUKIT MERTAJAM,Penang,PENANG,Freehold,Terrace House,Terrace House,Terrace House,Landed,400000.0,268.0,11
PALM WALK,Bandar Sungai Long,BANDAR SUNGAI LONG,SELANGOR | BANDAR SUNGAI LONG,Selangor,SELANGOR,Freehold,Terrace House,Terrace House,Terrace House,Landed,748000.0,508.0,11
TAMAN SPPK,Ipoh,IPOH,PERAK | IPOH,Perak,PERAK,Leasehold,"Terrace House, Semi D","Semi D, Terrace House",Semi D,Landed,250000.0,146.0,11
SEKSYEN 18,Petaling Jaya,PETALING JAYA,SELANGOR | PETALING JAYA,Selangor,SELANGOR,Mixed,"Terrace House, Bungalow","Bungalow, Terrace House",Bungalow,Landed,695000.0,162.0,11
TAMAN SRI NANDING,Ulu Langat,ULU LANGAT,SELANGOR | ULU LANGAT,Selangor,SELANGOR,Leasehold,Terrace House,Terrace House,Terrace House,Landed,280000.0,250.0,11
TAMAN RIMBA (PEC LOT 1135),Mentakab,MENTAKAB,PAHANG | MENTAKAB,Pahang,PAHANG,Freehold,Terrace House,Terrace House,Terrace House,Landed,137000.0,186.0,11
TAMAN BUKIT RAMBAI (BARU),Bukit Rambai,BUKIT RAMBAI,MELAKA | BUKIT RAMBAI,Melaka,MELAKA,Freehold,"Terrace House, Semi D","Semi D, Terrace House",Semi D,Landed,280000.0,182.0,11
TAMAN SRI SEGAMBUT,Segambut,SEGAMBUT,KUALA LUMPUR | SEGAMBUT,Kuala Lumpur,KUALA LUMPUR,Leasehold,Terrace House,Terrace House,Terrace House,Landed,650000.0,441.0,11
KAMPUNG TASIK TAMBAHAN,Ampang,AMPANG,SELANGOR | AMPANG,Selangor,SELANGOR,Leasehold,Terrace House,Terrace House,Terrace House,Landed,420000.0,405.0,11
TAMAN BERTAM INDAH,Kepala Batas,KEPALA BATAS,PENANG | KEPALA BATAS,Penang,PENANG,Freehold,"Semi D, Terrace House","Semi D, Terrace House",Semi D,Landed,310000.0,215.0,11
SUBANG 2,Sungai Buloh,SUNGAI BULOH,SELANGOR | SUNGAI BULOH,Selangor,SELANGOR,Leasehold,Terrace House,Terrace House,Terrace House,Landed,575000.0,463.0,11
TAMAN SEKIAH MAKMUR,Ulu Bernam,ULU BERNAM,PERAK | ULU BERNAM,Perak,PERAK,Leasehold,Terrace House,Terrace House,Terrace House,Landed,260000.0,179.0,11
RPR SUNGAI PLAN,Bintulu,BINTULU,SARAWAK | BINTULU,Sarawak,SARAWAK,Leasehold,Terrace House,Terrace House,Terrace House,Landed,270000.0,196.0,11
TAMAN METRO PENGKALAN,Batu Gajah,BATU GAJAH,PERAK | BATU GAJAH,Perak,PERAK,Leasehold,Terrace House,Terrace House,Terrace House,Landed,260000.0,186.0,11
TAMAN BUKIT JURU,Juru,JURU,PENANG | JURU,Penang,PENANG,Freehold,Terrace House,Terrace House,Terrace House,Landed,625000.0,375.0,11
TAMAN KULIM TECHNOCITY FASA 3,Kulim,KULIM,KEDAH | KULIM,Kedah,KEDAH,Freehold,Terrace House,Terrace House,Terrace House,Landed,395000.0,318.0,11
TAMAN PUTRA INDAH,Ipoh,IPOH,PERAK | IPOH,Perak,PERAK,Freehold,Terrace House,Terrace House,Terrace House,Landed,240000.0,180.0,11
BANDAR SERI BOTANI,Batu Gajah,BATU GAJAH,PERAK | BATU GAJAH,Perak,PERAK,Freehold,Terrace House,Terrace House,Terrace House,Landed,825510.0,320.0,11
BANDAR PUNCAK SENA,Pokok Sena,POKOK SENA,KEDAH | POKOK SENA,Kedah,KEDAH,Freehold,Terrace House,Terrace House,Terrace House,Landed,326800.0,267.0,11
TAMAN SRI REMBAU,Rembau,REMBAU,NEGERI SEMBILAN | REMBAU,Negeri Sembilan,NEGERI SEMBILAN,Freehold,"Semi D, Terrace House","Semi D, Terrace House",Semi D,Landed,280000.0,128.0,11
TAMAN GUNUNG MAS,Tampin,TAMPIN,NEGERI SEMBILAN | TAMPIN,Negeri Sembilan,NEGERI SEMBILAN,Freehold,Terrace House,Terrace House,Terrace House,Landed,200000.0,159.0,11
TAMAN AMAN PUTRI,Sungai Buloh,SUNGAI BULOH,SELANGOR | SUNGAI BULOH,Selangor,SELANGOR,Freehold,Terrace House,Terrace House,Terrace House,Landed,872000.0,464.0,11
TAMAN DATO CHELLAM,Ulu Tiram,ULU TIRAM,JOHOR | ULU TIRAM,Johor,JOHOR,Freehold,Terrace House,Terrace House,Terrace House,Landed,630000.0,427.0,11
MUTIARA DAMANSARA,Mutiara Damansara,MUTIARA DAMANSARA,SELANGOR | MUTIARA DAMANSARA,Selangor,SELANGOR,Freehold,"Terrace House, Bungalow","Bungalow, Terrace House",Bungalow,Landed,1430000.0,858.0,11
TAMAN BIDARA PALMA,Sungei Baru Tengah,SUNGEI BARU TENGAH,MELAKA | SUNGEI BARU TENGAH,Melaka,MELAKA,Freehold,Terrace House,Terrace House,Terrace House,Landed,240000.0,118.0,11
TAMAN DAMAI IMPIAN 2,Kuala Lipis,KUALA LIPIS,PAHANG | KUALA LIPIS,Pahang,PAHANG,Freehold,Terrace House,Terrace House,Terrace House,Landed,289000.0,202.0,11
TAMAN INDUSTRI SRI SULONG,Batu Pahat,BATU PAHAT,JOHOR | BATU PAHAT,Johor,JOHOR,Freehold,"Semi D, Terrace House","Semi D, Terrace House",Semi D,Landed,235000.0,100.0,11
TABUAN TRANQUILITY,Kuching,KUCHING,SARAWAK | KUCHING,Sarawak,SARAWAK,Mixed,Terrace House,Terrace House,Terrace House,Landed,730000.0,362.0,11
BUNGA RAYA,Bukit Baru,BUKIT BARU,MELAKA | BUKIT BARU,Melaka,MELAKA,Mixed,Terrace House,Terrace House,Terrace House,Landed,300000.0,169.0,11
TAMAN SRI ANGGERIK,Rantau,RANTAU,NEGERI SEMBILAN | RANTAU,Negeri Sembilan,NEGERI SEMBILAN,Mixed,Terrace House,Terrace House,Terrace House,Landed,190000.0,122.0,11
TAMAN GADONG PERDANA,Bertam,BERTAM,MELAKA | BERTAM,Melaka,MELAKA,Mixed,Terrace House,Terrace House,Terrace House,Landed,300000.0,207.0,11
TAMAN BUNGA RAYA,Sungai Petani,SUNGAI PETANI,KEDAH | SUNGAI PETANI,Kedah,KEDAH,Freehold,"Terrace House, Semi D","Semi D, Terrace House",Semi D,Landed,230000.0,131.0,11
TAMAN RIMBA (PEC LOT 3021),Mentakab,MENTAKAB,PAHANG | MENTAKAB,Pahang,PAHANG,Freehold,Terrace House,Terrace House,Terrace House,Landed,308000.0,185.0,11
TAMAN CEMPAKASARI,Kapar,KAPAR,SELANGOR | KAPAR,Selangor,SELANGOR,Leasehold,Terrace House,Terrace House,Terrace House,Landed,360000.0,276.0,11
TAMAN NIRWANA,Bukit Mertajam,BUKIT MERTAJAM,PENANG | BUKIT MERTAJAM,Penang,PENANG,Freehold,Terrace House,Terrace House,Terrace House,Landed,350000.0,310.0,11
TAMAN KLEBANG PUTRA,Chemor,CHEMOR,PERAK | CHEMOR,Perak,PERAK,Freehold,Terrace House,Terrace House,Terrace House,Landed,255000.0,190.0,11
TAMAN SETIA JAYA,Batu Pahat,BATU PAHAT,JOHOR | BATU PAHAT,Johor,JOHOR,Freehold,Terrace House,Terrace House,Terrace House,Landed,380000.0,234.0,11
TAMAN ERA,Simpang Rengam,SIMPANG RENGAM,JOHOR | SIMPANG RENGAM,Johor,JOHOR,Freehold,Terrace House,Terrace House,Terrace House,Landed,405900.0,231.0,11
TAMAN CHERAS IDAMAN,Cheras,CHERAS,SELANGOR | CHERAS,Selangor,SELANGOR,Mixed,Terrace House,Terrace House,Terrace House,Landed,830000.0,473.0,11
TAMAN JUJUR,Sikamat,SIKAMAT,NEGERI SEMBILAN | SIKAMAT,Negeri Sembilan,NEGERI SEMBILAN,Freehold,Cluster House,Cluster House,Cluster House,Landed,143000.0,129.0,11
TAMAN IMPIAN INDAH,Bukit Mertajam,BUKIT MERTAJAM,PENANG | BUKIT MERTAJAM,Penang,PENANG,Freehold,Terrace House,Terrace House,Terrace House,Landed,375000.0,310.0,11
TAMAN MAWAR,Tanjong Duabelas,TANJONG DUABELAS,SELANGOR | TANJONG DUABELAS,Selangor,SELANGOR,Freehold,Terrace House,Terrace House,Terrace House,Landed,390000.0,219.0,11
TAMAN BANDAR BARU SP (PKNK),Sungai Petani,SUNGAI PETANI,KEDAH | SUNGAI PETANI,Kedah,KEDAH,Freehold,Terrace House,Terrace House,Terrace House,Landed,200000.0,192.0,11
TAMAN IDAMAN,Simpang Ampat,SIMPANG AMPAT,PENANG | SIMPANG AMPAT,Penang,PENANG,Freehold,"Semi D, Terrace House","Semi D, Terrace House",Semi D,Landed,495000.0,299.0,11
TAMAN PUTERI,Kuching,KUCHING,SARAWAK | KUCHING,Sarawak,SARAWAK,Leasehold,Terrace House,Terrace House,Terrace House,Landed,400000.0,179.0,11
TAMAN SKUDAI INDAH,Skudai,SKUDAI,JOHOR | SKUDAI,Johor,JOHOR,Freehold,"Terrace House, Cluster House","Cluster House, Terrace House",Cluster House,Landed,650000.0,426.0,11
TAMAN PULAI BAYU,Skudai,SKUDAI,JOHOR | SKUDAI,Johor,JOHOR,Freehold,"Semi D, Cluster House","Semi D, Cluster House",Semi D,Landed,900000.0,264.0,11
USJ 20,Subang Jaya,SUBANG JAYA,SELANGOR | SUBANG JAYA,Selangor,SELANGOR,Freehold,Terrace House,Terrace House,Terrace House,Landed,915000.0,515.0,11
PERKAMPUNGAN KERTIH,Kerteh,KERTEH,TERENGGANU | KERTEH,Terengganu,TERENGGANU,Mixed,"Bungalow, Semi D","Bungalow, Semi D",Bungalow,Landed,360000.0,83.0,11
TAMAN PIASAU,Miri,MIRI,SARAWAK | MIRI,Sarawak,SARAWAK,Leasehold,Bungalow,Bungalow,Bungalow,Landed,680000.0,114.0,11
TAMAN INTAN BAIDURI,Batu Caves,BATU CAVES,KUALA LUMPUR | BATU CAVES,Kuala Lumpur,KUALA LUMPUR,Leasehold,Terrace House,Terrace House,Terrace House,Landed,820000.0,442.0,11
TAMAN AIRPORT,Sandakan,SANDAKAN,SABAH | SANDAKAN,Sabah,SABAH,Leasehold,Terrace House,Terrace House,Terrace House,Landed,400000.0,322.0,11
TAMAN PULAI FLORA,Skudai,SKUDAI,JOHOR | SKUDAI,Johor,JOHOR,Freehold,"Cluster House, Terrace House","Cluster House, Terrace House",Cluster House,Landed,600000.0,357.0,11
TAMAN SENTORIA,Kota Samarahan,KOTA SAMARAHAN,SARAWAK | KOTA SAMARAHAN,Sarawak,SARAWAK,Freehold,Terrace House,Terrace House,Terrace House,Landed,320000.0,248.0,11
SEKSYEN 5 BANDAR BARU BANGI,Bangi,BANGI,SELANGOR | BANGI,Selangor,SELANGOR,Leasehold,Terrace House,Terrace House,Terrace House,Landed,360000.0,360.0,11
TAMAN LAKE VIEW,Taiping,TAIPING,PERAK | TAIPING,Perak,PERAK,Freehold,"Terrace House, Semi D","Semi D, Terrace House",Semi D,Landed,405000.0,193.0,11
SEKSYEN 15 BANDAR BARU BANGI,Bangi,BANGI,SELANGOR | BANGI,Selangor,SELANGOR,Leasehold,Terrace House,Terrace House,Terrace House,Landed,550000.0,406.0,11
TAYNTON VIEW,Cheras,CHERAS,KUALA LUMPUR | CHERAS,Kuala Lumpur,KUALA LUMPUR,Freehold,Terrace House,Terrace House,Terrace House,Landed,625000.0,362.0,11
TAMAN DESA CEMERLANG,Batu Pahat,BATU PAHAT,JOHOR | BATU PAHAT,Johor,JOHOR,Freehold,Terrace House,Terrace House,Terrace House,Landed,439800.0,260.0,11
TAMAN PUTERA INDAH,Muar,MUAR,JOHOR | MUAR,Johor,JOHOR,Freehold,"Terrace House, Semi D","Semi D, Terrace House",Semi D,Landed,560000.0,259.0,11
BANDAR PULAI JAYA,Simpang Pulai,SIMPANG PULAI,PERAK | SIMPANG PULAI,Perak,PERAK,Leasehold,Terrace House,Terrace House,Terrace House,Landed,310000.0,220.0,11
MUTIARA RESIDENCE,Jitra,JITRA,KEDAH | JITRA,Kedah,KEDAH,Freehold,"Terrace House, Semi D","Semi D, Terrace House",Semi D,Landed,410400.0,267.0,11
TAMAN BUKIT MELAKA,Bukit Baru,BUKIT BARU,MELAKA | BUKIT BARU,Melaka,MELAKA,Freehold,Terrace House,Terrace House,Terrace House,Landed,438000.0,227.0,11
TAMAN PAHLAWAN,Telok Panglima Garang,TELOK PANGLIMA GARANG,SELANGOR | TELOK PANGLIMA GARANG,Selangor,SELANGOR,Freehold,"Semi D, Terrace House","Semi D, Terrace House",Semi D,Landed,365000.0,277.0,11
TAMAN SAGA,Senai,SENAI,JOHOR | SENAI,Johor,JOHOR,Freehold,Terrace House,Terrace House,Terrace House,Landed,270000.0,259.0,11
TAMAN ANGGERIK,Tampoi,TAMPOI,JOHOR | TAMPOI,Johor,JOHOR,Freehold,Terrace House,Terrace House,Terrace House,Landed,335000.0,357.0,11
TAMAN DESA IDAMAN,Durian Tunggal,DURIAN TUNGGAL,MELAKA | DURIAN TUNGGAL,Melaka,MELAKA,Freehold,Terrace House,Terrace House,Terrace House,Landed,320000.0,188.0,11
TAMAN BANANG HEIGHTS,Batu Pahat,BATU PAHAT,JOHOR | BATU PAHAT,Johor,JOHOR,Freehold,Terrace House,Terrace House,Terrace House,Landed,410000.0,254.0,11
DIAMOND RESIDENCE,Semenyih,SEMENYIH,SELANGOR | SEMENYIH,Selangor,SELANGOR,Freehold,"Semi D, Terrace House","Semi D, Terrace House",Semi D,Landed,675000.0,366.0,11
TAMAN KERIAN INDAH,Parit Buntar,PARIT BUNTAR,PERAK | PARIT BUNTAR,Perak,PERAK,Freehold,Terrace House,Terrace House,Terrace House,Landed,498800.0,357.0,11
TAMAN SRI LALANG,Kota Tinggi,KOTA TINGGI,JOHOR | KOTA TINGGI,Johor,JOHOR,Freehold,Terrace House,Terrace House,Terrace House,Landed,340000.0,167.0,11
TAMAN TASEK,Johor Bahru,JOHOR BAHRU,JOHOR | JOHOR BAHRU,Johor,JOHOR,Freehold,"Semi D, Terrace House","Semi D, Terrace House",Semi D,Landed,615000.0,250.0,11
TAMAN SEROJA,Sepang,SEPANG,SELANGOR | SEPANG,Selangor,SELANGOR,Leasehold,Terrace House,Terrace House,Terrace House,Landed,400000.0,156.0,11
BANDAR SERI EHSAN,Tanjong Duabelas,TANJONG DUABELAS,SELANGOR | TANJONG DUABELAS,Selangor,SELANGOR,Leasehold,Terrace House,Terrace House,Terrace House,Landed,300000.0,209.0,11
TAMAN JELITA BLOK 30,Miri,MIRI,SARAWAK | MIRI,Sarawak,SARAWAK,Leasehold,Terrace House,Terrace House,Terrace House,Landed,180000.0,179.0,11
TAMAN PERWIRA INDAH,Simpang Ampat,SIMPANG AMPAT,PENANG | SIMPANG AMPAT,Penang,PENANG,Freehold,Terrace House,Terrace House,Terrace House,Landed,440000.0,338.0,11
KINGFISHER PARK PH2,Kota Kinabalu,KOTA KINABALU,SABAH | KOTA KINABALU,Sabah,SABAH,Leasehold,"Semi D, Terrace House","Semi D, Terrace House",Semi D,Landed,950000.0,256.0,11
Taman Daya - Jalan Nibong 28,Tebrau,TEBRAU,JOHOR | TEBRAU,Johor,JOHOR,Freehold,Flat,Flat,Flat,High-Rise,150000.0,263.0,11
PKNS Seksyen 24,Shah Alam,SHAH ALAM,SELANGOR | SHAH ALAM,Selangor,SELANGOR,Leasehold,Flat,Flat,Flat,High-Rise,212000.0,292.0,11
Taman Mawar,Sandakan,SANDAKAN,SABAH | SANDAKAN,Sabah,SABAH,Leasehold,Flat,Flat,Flat,High-Rise,125000.0,228.0,11
Utama @ Utropolis,Batu Kawan,BATU KAWAN,PENANG | BATU KAWAN,Penang,PENANG,Freehold,Service Residence,Service Residence,Service Residence,High-Rise,320000.0,628.0,11
Anggerik Villa 2,Kajang,KAJANG,SELANGOR | KAJANG,Selangor,SELANGOR,Freehold,Apartment,Apartment,Apartment,High-Rise,220000.0,198.0,11
Miharja (LRT Maluri),Cheras,CHERAS,KUALA LUMPUR | CHERAS,Kuala Lumpur,KUALA LUMPUR,Leasehold,Flat,Flat,Flat,High-Rise,245000.0,305.0,11
Petrie Condominium,Johor Bahru,JOHOR BAHRU,JOHOR | JOHOR BAHRU,Johor,JOHOR,Freehold,Condominium,Condominium,Condominium,High-Rise,499000.0,279.0,11
USJ One Avenue Condo,Subang Jaya,SUBANG JAYA,SELANGOR | SUBANG JAYA,Selangor,SELANGOR,Leasehold,Condominium,Condominium,Condominium,High-Rise,500000.0,372.0,11
Sri Cempaka,Puchong,PUCHONG,SELANGOR | PUCHONG,Selangor,SELANGOR,Freehold,Apartment,Apartment,Apartment,High-Rise,380000.0,471.0,11
Iskandar Residences,Iskandar Puteri (Nusajaya),ISKANDAR PUTERI (NUSAJAYA),JOHOR | ISKANDAR PUTERI (NUSAJAYA),Johor,JOHOR,Freehold,Condominium,Condominium,Condominium,High-Rise,873000.0,601.0,11
D'Rich Executive Suites,Iskandar Puteri (Nusajaya),ISKANDAR PUTERI (NUSAJAYA),JOHOR | ISKANDAR PUTERI (NUSAJAYA),Johor,JOHOR,Freehold,Apartment,Apartment,Apartment,High-Rise,400000.0,418.0,11
Sri Impian Apartment,Ayer Itam,AYER ITAM,PENANG | AYER ITAM,Penang,PENANG,Leasehold,Apartment,Apartment,Apartment,High-Rise,278000.0,392.0,11
Sri Alam Condominium,Shah Alam,SHAH ALAM,SELANGOR | SHAH ALAM,Selangor,SELANGOR,Leasehold,Condominium,Condominium,Condominium,High-Rise,450000.0,324.0,11
Taman Lone Pine (Medium Low Cost),Ayer Itam,AYER ITAM,PENANG | AYER ITAM,Penang,PENANG,Freehold,Apartment,Apartment,Apartment,High-Rise,250000.0,436.0,11
De Tropicana,Kuchai Lama,KUCHAI LAMA,KUALA LUMPUR | KUCHAI LAMA,Kuala Lumpur,KUALA LUMPUR,Leasehold,Condominium,Condominium,Condominium,High-Rise,280000.0,287.0,11
Taman Lembah Maju,Ampang,AMPANG,SELANGOR | AMPANG,Selangor,SELANGOR,Leasehold,Apartment,Apartment,Apartment,High-Rise,158000.0,195.0,11
